Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
09-Sep-25,Tuesday,September,Q3,2025,EQ,2320,2325,2297,2310.9,2313.8,2311.6,2312.02,3211,2025,369431,25802
08-Sep-25,Monday,September,Q3,2025,EQ,2290,2333.9,2286,2281.4,2319,2310.9,2317.98,3211,2025,542811,33564
05-Sep-25,Friday,September,Q3,2025,EQ,2275,2293.5,2248,2278.8,2282.5,2281.4,2273.81,3211,2025,443010,28096
04-Sep-25,Thursday,September,Q3,2025,EQ,2309.9,2317.3,2275,2288.7,2280,2278.8,2291.33,3211,2025,392697,29912
03-Sep-25,Wednesday,September,Q3,2025,EQ,2285,2293,2263.1,2274.2,2292,2288.7,2279.5,3211,2025,443629,28773
02-Sep-25,Tuesday,September,Q3,2025,EQ,2291,2302,2264,2284.2,2278,2274.2,2283.41,3211,2025,481894,37899
01-Sep-25,Monday,September,Q3,2025,EQ,2259,2288,2252.1,2244.7,2286.6,2284.2,2274.83,3211,2025,425639,29502
29-Aug-25,Friday,August,Q3,2025,EQ,2283,2289.7,2240,2275.2,2247.9,2244.7,2257.72,3211,2025,795699,50217
28-Aug-25,Thursday,August,Q3,2025,EQ,2271.9,2327.9,2255,2272,2282.1,2275.2,2295.19,3211,2025,907868,55327
26-Aug-25,Tuesday,August,Q3,2025,EQ,2304,2309.3,2249.4,2302.9,2286,2272,2271.65,3211,2025,1071550,49449
25-Aug-25,Monday,August,Q3,2025,EQ,2335.7,2348.4,2300,2324.9,2302.8,2302.9,2317.89,3211,2025,542455,28277
22-Aug-25,Friday,August,Q3,2025,EQ,2369.9,2376.3,2321,2377.2,2323,2324.9,2338.18,3211,2025,584211,34341
21-Aug-25,Thursday,August,Q3,2025,EQ,2387.1,2397,2371.4,2387.1,2373,2377.2,2384.83,3211,2025,441867,24817
20-Aug-25,Wednesday,August,Q3,2025,EQ,2380,2406,2372.1,2388.4,2391,2387.1,2389.93,3211,2025,780025,34030
19-Aug-25,Tuesday,August,Q3,2025,EQ,2339.9,2395.6,2314.1,2333.6,2380.7,2388.4,2368.18,3211,2025,1069432,58469
18-Aug-25,Monday,August,Q3,2025,EQ,2309.6,2360,2300,2281.6,2325.5,2333.6,2339.34,3211,2025,988629,45655
14-Aug-25,Thursday,August,Q3,2025,EQ,2288,2304,2267.7,2280.1,2280.1,2281.6,2285.6,3211,2025,998109,39420
13-Aug-25,Wednesday,August,Q3,2025,EQ,2299,2314.9,2245.4,2288.2,2287,2280.1,2278.92,3211,2025,833679,42397
12-Aug-25,Tuesday,August,Q3,2025,EQ,2280.1,2314.7,2267,2283.4,2294.5,2288.2,2290.14,3211,2025,1075526,61725
11-Aug-25,Monday,August,Q3,2025,EQ,2196,2302,2183,2178.1,2270.2,2283.4,2257.64,3211,2025,2376286,118272
08-Aug-25,Friday,August,Q3,2025,EQ,2247,2260.9,2164.8,2249.8,2179,2178.1,2185.27,3242.65,2025,2552736,101023
07-Aug-25,Thursday,August,Q3,2025,EQ,2290,2295,2202.8,2300.3,2245.9,2249.8,2244.12,3242.65,2025,1529410,72389
06-Aug-25,Wednesday,August,Q3,2025,EQ,2333.9,2347.9,2296,2328.2,2300,2300.3,2311.6,3242.65,2025,631582,35196
05-Aug-25,Tuesday,August,Q3,2025,EQ,2370,2370,2316,2363.6,2333,2328.2,2333.43,3242.65,2025,576742,36761
04-Aug-25,Monday,August,Q3,2025,EQ,2360,2374.7,2338.2,2350.9,2364.7,2363.6,2358.52,3242.65,2025,576426,35680
01-Aug-25,Friday,August,Q3,2025,EQ,2425,2444.9,2333,2430.7,2341.5,2350.9,2387.3,3258,2025,976341,50438
31-Jul-25,Thursday,July,Q3,2025,EQ,2509.9,2520,2422.6,2532.9,2430,2430.7,2466.47,3258,2025,1457616,74728
30-Jul-25,Wednesday,July,Q3,2025,EQ,2547.9,2552.6,2525,2547.9,2527,2532.9,2541.06,3258,2025,262063,22733
29-Jul-25,Tuesday,July,Q3,2025,EQ,2529,2557.4,2507.5,2522.3,2545.5,2547.9,2534.72,3258,2025,424781,32528
28-Jul-25,Monday,July,Q3,2025,EQ,2549,2585,2512.6,2550.1,2528,2522.3,2545.55,3258,2025,428409,33834
25-Jul-25,Friday,July,Q3,2025,EQ,2605,2617,2544.1,2608.4,2549.5,2550.1,2568.46,3258,2025,424612,30247
24-Jul-25,Thursday,July,Q3,2025,EQ,2615.4,2624.2,2595,2614.5,2608,2608.4,2607.65,3258,2025,253782,22026
23-Jul-25,Wednesday,July,Q3,2025,EQ,2600.7,2625.9,2593.5,2587.8,2615.5,2614.5,2612.73,3258,2025,316424,24447
22-Jul-25,Tuesday,July,Q3,2025,EQ,2626,2630,2581.6,2619.5,2593.9,2587.8,2599.99,3258,2025,387055,25897
21-Jul-25,Monday,July,Q3,2025,EQ,2596.3,2624.9,2585,2596.1,2615.7,2619.5,2612.22,3258,2025,369782,28077
18-Jul-25,Friday,July,Q3,2025,EQ,2612,2626.7,2584.2,2616.6,2594.2,2596.1,2599.8,3258,2025,479942,32389
